지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
47290,정평동,한솔1차,59.92,"16,100",1997,2021-01-26,13
47290,중산동,펜타힐즈더샵1차,63.4751,"44,400",2017,2021-01-18,21
47290,대평동,대평그린빌,59.99,"18,700",2004,2021-01-23,6
47290,옥곡동,성암산신동아파밀리에,134.855,"39,600",2009,2021-01-16,2
47290,사동,부영3차원앙마을,84.9751,"14,850",2003,2021-01-19,12
47290,사동,부영1차,59.889,"11,100",2001,2021-01-15,4
47290,옥산동,협화타운,56.56,"9,700",1994,2021-01-08,3
47290,옥곡동,부영조은마을(1단지),84.9751,"17,300",2004,2021-01-25,5
47290,옥산동,옥산신화평광,123.12,"26,800",1996,2021-01-23,1
47290,중방동,중방e-편한세상1단지,84.895,"43,300",2010,2021-01-30,12
47290,진량읍 부기리,창신무학타운,59.91,"7,600",1996,2021-01-14,6
47290,진량읍 부기리,창신무학타운,59.91,"7,000",1996,2021-01-07,4
47290,옥곡동,웰리치성암,131.246,"30,500",2006,2021-01-08,5
47290,중산동,경남신성,59.94,"18,700",1996,2021-01-27,16
47290,삼풍동,태왕드림하이츠,121.2056,"31,300",2001,2021-01-08,8
47290,정평동,한솔3차,84.97,"21,500",1998,2021-01-16,13
47290,정평동,태왕귀빈타운,109.35,"28,000",1993,2021-01-23,9
47290,옥산동,청구,84.94,"18,000",1993,2021-01-19,14
47290,상방동,경산남천리버뷰우방아이유쉘,74.9654,"30,000",2019,2021-01-30,25
47290,삼풍동,태왕드림하이츠,39.963,"12,600",2001,2021-01-30,6
47290,중산동,경남신성,59.94,"18,500",1996,2021-01-23,5
47290,중산동,경남신성,84.96,"25,500",1996,2021-01-23,15
47290,상방동,경산남천리버뷰우방아이유쉘,68.4171,"25,600",2019,2021-01-23,13
47290,옥산동,창신성암타운,84.99,"14,600",1993,2021-01-19,8
47290,압량읍 신대리,경산한신휴플러스아파트,84.9175,"27,000",2016,2021-01-31,5
