법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
잠실동,트리지움,84.95,82300,2007,2013-01-25,18,석촌역,개통 전
거여동,거여2단지효성,134.88,56500,1997,2013-01-09,1,석촌역,개통 전
잠실동,리센츠,84.99,89900,2008,2013-01-27,11,석촌역,개통 전
잠실동,주공아파트 5단지,82.51,100700,1978,2013-01-28,4,석촌역,개통 전
잠실동,아시아선수촌아파트,99.385,107000,1986,2013-01-23,5,석촌역,개통 전
문정동,올림픽훼밀리타운,158.705,99000,1988,2013-01-16,14,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,62500,1988,2013-01-22,3,석촌역,개통 전
가락동,시영2,39.64,52000,1982,2013-01-28,2,석촌역,개통 전
풍납동,금강캐스빌,84.09,36200,2010,2013-01-31,3,석촌역,개통 전
잠실동,갤러리아팰리스,176.034,152000,2005,2013-01-03,19,석촌역,개통 전
가락동,시영1,45.12,50500,1980,2013-01-15,4,석촌역,개통 전
마천동,우방아파트,55.32,27000,2002,2013-01-11,5,석촌역,개통 전
거여동,현대1차,70.38,36500,1992,2013-01-12,9,석촌역,개통 전
가락동,시영1,40.09,45500,1980,2013-01-17,2,석촌역,개통 전
가락동,가락쌍용(2차),84.42,48000,1999,2013-01-11,2,석촌역,개통 전
가락동,시영2,50.12,64300,1982,2013-01-17,5,석촌역,개통 전
잠실동,잠실엘스,84.8,82500,2008,2013-01-26,2,석촌역,개통 전
송파동,래미안송파파인탑,87.05,72000,2012,2013-01-02,9,석촌역,개통 전
송파동,송파삼성래미안아파트,79.7,55000,2001,2013-01-08,6,석촌역,개통 전
오금동,르네상스빌,204.11,90000,2002,2013-01-29,9,석촌역,개통 전
잠실동,리센츠,84.99,88000,2008,2013-01-21,11,석촌역,개통 전
방이동,방이금호어울림,84.3,49000,2001,2013-01-12,11,석촌역,개통 전
문정동,문정대우푸르지오3차,84.96,42900,2002,2013-01-31,3,석촌역,개통 전
잠실동,레이크팰리스,84.82,84500,2006,2013-01-07,7,석촌역,개통 전
장지동,송파파인타운13단지,84.92,59500,2011,2013-01-24,12,석촌역,개통 전
잠실동,트리지움,84.83,85000,2007,2013-01-31,13,석촌역,개통 전
잠실동,레이크팰리스,59.97,66000,2006,2013-01-05,17,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,63000,1988,2013-01-22,6,석촌역,개통 전
가락동,풍림1,80.52,37250,1995,2013-01-03,8,석촌역,개통 전
가락동,풍림1,73.2,36500,1995,2013-01-21,11,석촌역,개통 전
잠실동,잠실엘스,84.8,80500,2008,2013-01-24,8,석촌역,개통 전
잠실동,주공아파트 5단지,82.61,101500,1978,2013-01-03,12,석촌역,개통 전
