지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
11110,홍파동,경희궁자이(2단지),84.614,"194,500",2017,2021-06-02,18
11110,창신동,창신쌍용1,54.7,"74,500",1992,2021-06-12,9
11110,창신동,창신쌍용1,79.87,"86,000",1992,2021-06-19,8
11110,숭인동,종로동광모닝스카이,15.855,"10,800",2013,2021-06-19,11
11110,숭인동,종로유케이201,12.09,"11,000",2013,2021-06-10,9
11110,내수동,킹스매너,201.82,"175,000",2004,2021-06-14,3
11110,무악동,현대,114.9,"140,000",2000,2021-07-31,10
11110,사직동,광화문스페이스본(101동~105동),94.51,"138,000",2008,2021-07-29,8
11110,홍파동,경희궁자이(2단지),84.614,"189,000",2017,2021-07-06,2
11110,무악동,현대,114.9,"139,950",2000,2021-07-31,10
11110,내수동,경희궁의아침4단지,150.48,"205,000",2004,2021-07-31,13
11110,창신동,창신쌍용2,54.7,"69,800",1993,2021-07-25,7
11110,숭인동,숭인상가,78.75,"70,000",1979,2021-07-24,8
11110,창신동,창신쌍용2,64.66,"65,500",1993,2021-07-28,3
11110,부암동,부암스카이뷰,81,"49,000",2004,2021-07-29,1
11110,교북동,경희궁자이(4단지),33.982,"85,000",2017,2021-07-30,7
11110,행촌동,대성아파트,94.94,"46,300",1971,2021-07-17,7
11110,사직동,광화문스페이스본(101동~105동),94.51,"138,000",2008,2021-07-29,8
11110,홍파동,경희궁자이(2단지),84.907,"195,000",2017,2021-07-16,21
11110,창신동,창신쌍용2,79.87,"84,500",1993,2021-07-16,13
11110,사직동,광화문스페이스본(101동~105동),159.01,"164,500",2008,2021-07-22,9
11110,내수동,경희궁의아침3단지,150.48,"177,000",2004,2021-07-19,15
11110,견지동,대성스카이렉스,137.55,"126,500",2008,2021-07-20,6
11110,사직동,광화문스페이스본(106동),144.52,"167,000",2008,2021-07-15,7
11110,홍파동,경희궁자이(2단지),59.855,"164,700",2017,2021-07-22,11
11110,익선동,현대뜨레비앙,48.54,"31,500",2003,2021-07-12,3
11110,익선동,현대뜨레비앙,36.08,"26,800",2003,2021-07-12,8
11110,사직동,광화문스페이스본(101동~105동),97.61,"129,500",2008,2021-07-24,7
11110,사직동,광화문스페이스본(101동~105동),147.31,"180,000",2008,2021-07-19,7
11110,창신동,창신쌍용2,79.87,"75,000",1993,2021-07-05,2
11110,평창동,벽산블루밍평창힐스,186.9,"162,500",2004,2021-07-08,5
11110,인의동,효성쥬얼리시티,84.64,"89,000",2006,2021-07-12,7
11110,창신동,두산,84.9,"108,500",1999,2021-07-26,4
11110,부암동,부암스카이뷰,76.65,"50,000",2004,2021-07-14,2
11110,무악동,경희궁롯데캐슬,59.6737,"140,000",2019,2021-07-14,4
11110,숭인동,종로센트레빌,59.92,"95,000",2008,2021-07-28,4
11110,무악동,현대,84.92,"125,000",2000,2021-07-10,14
11110,행촌동,대성아파트,19.27,"14,000",1971,2021-07-27,1
11110,창신동,덕산,59.28,"55,900",1999,2021-07-17,4
11110,숭인동,종로동광모닝스카이,15.855,"12,000",2013,2021-07-19,10
11110,창신동,창신쌍용2,64.66,"70,000",1993,2021-07-10,9
11110,홍파동,경희궁자이(2단지),84.944,"194,000",2017,2021-07-13,11
11110,창신동,창신쌍용2,79.87,"85,000",1993,2021-07-12,7
11110,수송동,로얄팰리스스위트,130.98,"130,000",2005,2021-07-01,17
11110,신문로2가,디팰리스,158.324,"360,000",2020,2021-07-07,16
11110,교북동,경희궁자이(4단지),45.879,"119,000",2017,2021-07-10,18
11110,평창동,갑을아파트,30.46,"19,000",1997,2021-07-22,13
11110,숭인동,종로동광모닝스카이,15.855,"11,500",2013,2021-07-21,16
11110,홍파동,경희궁자이(2단지),84.614,"189,000",2017,2021-07-06,2
11110,익선동,현대뜨레비앙,43.98,"30,000",2003,2021-07-19,6
11110,숭인동,도시그린빌라,58.79,"30,000",1997,2021-07-05,1
11110,무악동,인왕산아이파크,84.858,"139,400",2008,2021-07-08,5
11110,구기동,마운틴뷰,66.13,"58,500",2019,2021-07-03,3
11110,교북동,경희궁자이(4단지),37.2635,"87,000",2017,2021-07-03,8
11110,숭인동,종로아인스빌,12.15,"10,500",2013,2021-07-05,15
11110,무악동,인왕산아이파크,114.931,"137,500",2008,2021-08-29,2
11110,홍파동,경희궁자이(2단지),116.986,"250,000",2017,2021-08-28,8
11110,교북동,동아,59.98,"83,500",1995,2021-08-28,8
11110,홍파동,경희궁자이(2단지),84.9071,"195,000",2017,2021-08-27,12
11110,무악동,인왕산아이파크,114.931,"164,500",2008,2021-08-22,9
11110,무악동,인왕산아이파크,84.858,"133,000",2008,2021-08-21,14
11110,창신동,창신쌍용2,54.7,"69,700",1993,2021-08-27,9
11110,홍파동,경희궁자이(2단지),116.938,"245,000",2017,2021-08-30,2
11110,홍파동,경희궁자이(2단지),101.991,"234,500",2017,2021-08-25,4
11110,숭인동,롯데캐슬천지인,84.95,"112,000",2004,2021-08-17,26
11110,사직동,광화문스페이스본(101동~105동),136.4,"165,000",2008,2021-08-21,8
11110,평창동,삼성,59.97,"64,000",1998,2021-08-21,2
11110,무악동,현대,84.92,"128,960",2000,2021-08-19,4
11110,창신동,창신쌍용2,54.7,"67,700",1993,2021-08-12,3
11110,무악동,현대,84.92,"137,900",2000,2021-08-28,6
11110,연건동,이화에수풀,16.98,"20,000",2014,2021-08-29,12
11110,숭인동,종로중흥S클래스,17.811,"12,650",2013,2021-08-16,7
11110,평동,경희궁자이(3단지),84.8359,"205,000",2017,2021-08-20,8
11110,창신동,브라운스톤창신,84.67,"84,500",2006,2021-08-10,12
11110,무악동,인왕산아이파크,114.931,"169,500",2008,2021-08-06,16
11110,견지동,대성스카이렉스,116.03,"96,000",2008,2021-08-04,5
11110,숭인동,종로중흥S클래스,17.811,"12,500",2013,2021-08-07,6
11110,평창동,갑을아파트,64.88,"33,000",1997,2021-08-24,11
11110,사직동,광화문스페이스본(106동),163.33,"209,000",2008,2021-08-05,13
11110,신교동,신현(101동),84.82,"80,000",2002,2021-08-16,1
11110,숭인동,종로중흥S클래스,17.811,"13,000",2013,2021-08-06,5
11110,무악동,인왕산아이파크,84.858,"126,500",2008,2021-08-14,3
11110,평동,경희궁자이(3단지),84.614,"197,000",2017,2021-08-02,5
11110,행촌동,대성아파트,30.28,"20,000",1971,2021-08-13,6
11110,부암동,프라임캐슬(케이빌라트),88.89,"49,000",2002,2021-08-06,1
11110,평동,경희궁자이(3단지),84.836,"199,500",2017,2021-08-05,14
11110,숭인동,삼전솔하임2차,15,"11,600",2012,2021-08-06,7
11110,익선동,현대뜨레비앙,48.54,"32,000",2003,2021-08-14,7
11110,숭인동,롯데캐슬천지인,111.73,"127,500",2004,2021-08-03,17
11110,사직동,광화문스페이스본(101동~105동),158.99,"160,000",2008,2021-08-10,4
11110,명륜2가,아남1,84.9,"120,000",1995,2021-08-02,7
11110,평창동,밀레니엄,108.18,"74,700",2017,2021-09-09,2
11110,창신동,덕산,59.28,"61,700",1999,2021-09-29,1
11110,효제동,이지마루종로,19.31,"29,800",2021,2021-09-28,15
11110,창신동,창신쌍용2,64.66,"76,500",1993,2021-09-29,8
11110,창신동,흥인,56.88,"43,000",1997,2021-09-28,5
11110,교북동,경희궁자이(4단지),37.2635,"89,400",2017,2021-09-26,9
11110,효제동,이지마루종로,25.55,"35,500",2021,2021-09-24,14
11110,창신동,덕산,59.28,"61,700",1999,2021-09-29,1
11110,평창동,갑을아파트,53.33,"30,000",1997,2021-09-14,9
11110,행촌동,대성아파트,19.27,"18,000",1971,2021-09-11,7
